scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,SVR,ML,Raw,24,prefix,-,30.0,0.0662964702720063,0.769019866413745,0.0524711977426763,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,RandomForest,ML,Raw,24,prefix,-,60.0,0.0664248154020051,0.7681246793668676,0.0601345238095236,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,4,RandomForest,ML,Raw+Delta+Meta,51,prefix,-,60.0,0.0666522980795539,0.7665337697072074,0.0543988095238094,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,4,RandomForest,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,90.0,0.0667136779929664,0.7661035749290953,0.0547654761904762,7,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,4,RandomForest,ML,Raw+Delta+Meta,51,prefix,-,90.0,0.0668830061963211,0.7649147475600603,0.0571845238095238,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,XGBoost,ML,Raw,24,prefix,-,30.0,0.0669492929395354,0.764448537719774,0.0503156612174851,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,RandomForest,ML,Raw+Meta,27,prefix,-,30.0,0.067291134525391,0.7620369557057064,0.0542690476190475,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,Ridge,ML,Raw,24,prefix,-,50.0,0.0675146659388853,0.760453372238176,0.0565949439950795,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,4,RandomForest,ML,Delta+Meta,27,prefix,-,100.0,0.0677122313163676,0.7590493702035366,0.0607285714285714,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,RandomForest,ML,Raw+Meta,27,prefix,-,40.0,0.0678423788136533,0.7581222331706703,0.0559369047619048,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,SVR,ML,Raw,24,prefix,-,70.0,0.0678957110419375,0.7577417939547153,0.0546881843699065,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,RandomForest,ML,Raw+Delta,48,prefix,-,90.0,0.0680052136773466,0.7569597326493165,0.0581595238095238,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,SVR,ML,Raw,24,prefix,-,80.0,0.0680666646886499,0.7565203011046563,0.0607905943430853,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,4,RandomForest,ML,Raw+Delta+Meta,51,prefix_with_case6,-,50.0,0.068585171820524,0.7527966925258587,0.0564142857142858,7,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
