model,input_length_pct,mean_rmse,mean_r2,mean_mae,task_id,scenario,task,run_id,features,input_strategy,segment,source_file
Ridge,10.0,0.1528167141357398,0.373895872135255,0.1224931841484608,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
Ridge,20.0,0.1541603054796479,0.4006148202490066,0.1297944941074248,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
Ridge,30.0,0.1372173004476888,0.4932850284290571,0.1117960457363122,S1_T1,S1,T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,Raw+Meta,prefix,-,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/analysis/H4_S1_T1_locv_aggregated.csv
Ridge,40.0,0.1326176732114055,0.4974351701369265,0.1084472231005442,S1_T1,S1,T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,Raw+Meta,prefix,-,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/analysis/H4_S1_T1_locv_aggregated.csv
Ridge,50.0,0.1311488091004394,0.4793269201909889,0.109230988131236,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
Ridge,60.0,0.1248457012968344,0.532770605114091,0.1040832326997959,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
Ridge,70.0,0.1232082438100136,0.5527805015797331,0.1026487463035238,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
Ridge,80.0,0.1252930199891172,0.6255652545893077,0.0991473350542553,S1_T7,S1,T7,2026-06-08_174208_H4_S1_T7_delta_only,Delta,prefix,-,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/analysis/H4_S1_T7_locv_aggregated.csv
Ridge,90.0,0.1309538939870674,0.5765603664435096,0.1059682488043371,S1_T7,S1,T7,2026-06-08_174208_H4_S1_T7_delta_only,Delta,prefix,-,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/analysis/H4_S1_T7_locv_aggregated.csv
Ridge,100.0,0.126167745563577,0.5433206676748025,0.1036420048085022,S1_T1,S1,T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,Raw+Meta,prefix,-,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/analysis/H4_S1_T1_locv_aggregated.csv
SVR,10.0,0.1409689508525504,0.4593160307532765,0.1084002893731488,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
SVR,20.0,0.143418314100253,0.4672498225490565,0.1123593335277424,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
SVR,30.0,0.1277074517129907,0.5730299536190799,0.1033735912983113,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,prefix,-,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/analysis/H4_S1_T4_locv_aggregated.csv
SVR,40.0,0.1215525449451223,0.5988236851574223,0.0966016162104654,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,prefix,-,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/analysis/H4_S1_T4_locv_aggregated.csv
