rank,task,scenario,model,model_type,features,n_features,sensor_subset,input_strategy,segment,input_length_pct,rmse,r2,mae,eval_mode,n_seed,note
65,B2_S1_RandomForest_Full_all6,B2_S1,RandomForest,ML,Delta+Meta,27,all_6,segment,Full,100,0.135995,,,observed_vb,5.0,
67,B1_S1_Ridge,B1_S1,Ridge,ML,Delta+Meta,27,all_6,segment,Full,100,0.147571,,,observed_vb,1.0,
68,S3_T4,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,40,0.152209,0.416416,0.12755,all_vb,,
69,S3_T2,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.152545,0.322638,0.129029,all_vb,,
70,S3_T4,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.161048,0.055048,0.14105,all_vb,,
70,S3_T1,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.161048,0.055048,0.14105,all_vb,,
74,S3_T3,S3,Ridge,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.187218,-0.27426,0.164453,all_vb,,
29,S3_T4,S3,SVR,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.116935,0.607489,0.093358,all_vb,,
29,S3_T1,S3,SVR,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.116935,0.607489,0.093358,all_vb,,
36,B1_S1_SVR,B1_S1,SVR,ML,Delta+Meta,27,all_6,segment,Full,100,0.118862,,,observed_vb,1.0,
48,S3_T2,S3,SVR,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.12764,0.544754,0.100987,all_vb,,
64,S3_T3,S3,SVR,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.135921,0.507176,0.110676,all_vb,,
17,B2_S1_XGBoost_Exclude_exit_all6,B2_S1,XGBoost,ML,Delta+Meta,27,all_6,segment,Exclude_exit,100,0.110914,,,observed_vb,1.0,
19,B2_S2_XGBoost_Steady_all6,B2_S2,XGBoost,ML,Delta+Meta,27,all_6,segment,Steady,100,0.111355,,,observed_vb,1.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
21,B2_S1_XGBoost_Full_all6,B2_S1,XGBoost,ML,Delta+Meta,27,all_6,segment,Full,100,0.113095,,,observed_vb,1.0,
25,B2_S2_XGBoost_Entry_Steady_all6,B2_S2,XGBoost,ML,Delta+Meta,27,all_6,segment,Entry_Steady,100,0.115027,,,observed_vb,1.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
26,S3_T3,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.115577,0.663202,0.08875,all_vb,,
28,S3_T4,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,90,0.116109,0.695057,0.089572,all_vb,,
33,S3_T4,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.117981,0.681062,0.089166,all_vb,,
33,S3_T1,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.117981,0.681062,0.089166,all_vb,,
35,S3_T2,S3,XGBoost,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.118222,0.682732,0.091987,all_vb,,
37,B2_S2_XGBoost_Entry_all6,B2_S2,XGBoost,ML,Delta+Meta,27,all_6,segment,Entry,100,0.119406,,,observed_vb,1.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
